Gene	sgRNA	Top.beta	Top.z	Top.p.value	Top.fdr	Top.wald.p.value	Top.wald.fdr
ENSMUST00000033582_Cox7b	6	0.014099	0.49356	0.59488	0.76667	0.62161	0.7843
ENSMUST00000115561_Gm5751	6	0.0049007	0.14246	0.77388	0.8763	0.88672	0.93839
ENSMUST00000064196_B630019K06Rik	6	-0.048101	-1.165	0.30064	0.5486	0.24403	0.47879
ENSMUST00000055941_Atp7a	6	-0.063627	-1.5861	0.17414	0.4159	0.11271	0.33308
ENSMUST00000081593_Pgk1	6	0.11282	2.3262	0.009475	0.12881	0.020008	0.13022
ENSMUST00000112584_Kdm5c	6	-0.10689	-3.5365	0.03073	0.20339	4.0554e-4	0.010217
ENSMUST00000048962_Kif4	6	-0.077535	-1.4887	0.10064	0.33447	0.13657	0.37034
ENSMUST00000072699_Hmgb3	6	0.10593	2.313	0.012292	0.14545	0.020722	0.13375
ENSMUST00000070449_Gpr50	6	0.082241	1.3711	0.040461	0.21477	0.17035	0.40635
ENSMUST00000114576_Vma21	6	-0.090597	-2.2426	0.058131	0.26057	0.024926	0.148
ENSMUST00000154780_Gm1141	6	0.025957	0.22593	0.39923	0.62817	0.82125	0.89331
ENSMUST00000126362_Prrg3	5	-0.10101	-2.2209	0.055314	0.25412	0.026361	0.15138
ENSMUST00000148651_3010001F23Rik	6	0.10473	2.056	0.013316	0.15294	0.039783	0.19821
ENSMUST00000151819_Gpr143	6	0.060782	1.6962	0.097567	0.33447	0.089846	0.30509
ENSMUST00000009530_Timp1	6	-0.074408	-2.4451	0.11677	0.35038	0.01448	0.10669
ENSMUST00000095755_Usp51	6	0.081751	2.0991	0.040973	0.21477	0.035806	0.19286
ENSMUST00000122268_Fthl17-ps2	6	-0.078052	-1.8905	0.098592	0.33447	0.058692	0.24778
ENSMUST00000136451_Araf	6	-0.048416	-1.0769	0.29834	0.54567	0.28154	0.51375
ENSMUST00000059967_4930402K13Rik	6	-0.03812	-1.0636	0.41306	0.63881	0.2875	0.51697
ENSMUST00000142927_Ctps2	6	0.097417	2.6091	0.019974	0.16596	0.0090783	0.077171
ENSMUST00000069763_Lancl3	6	-0.01985	-0.48271	0.72087	0.84408	0.6293	0.7889
ENSMUST00000156336_Gdpd2	6	-0.034436	-1.1517	0.4653	0.68864	0.24943	0.48325
ENSMUST00000015486_Xk	6	0.021964	0.85301	0.46248	0.68838	0.39365	0.6186
ENSMUST00000127673_9530051G07Rik	6	0.038848	1.3059	0.24149	0.49632	0.19157	0.42776
ENSMUST00000096265_Foxr2	6	-0.11401	-3.2825	0.021767	0.17172	0.001029	0.02065
ENSMUST00000039720_Rragb	6	0.056202	2.0651	0.11677	0.35038	0.038915	0.19608
ENSMUST00000048675_Magea4	6	-0.02664	-0.90964	0.59462	0.76667	0.36301	0.59437
ENSMUST00000087984_Dlg3	6	-0.088321	-2.38	0.066325	0.27282	0.017314	0.11953
ENSMUST00000060576_Lpar4	6	0.16972	2.6028	0.0010243	0.023529	0.0092461	0.077171
ENSMUST00000053375_P2ry10	6	0.012741	0.43246	0.62279	0.78199	0.6654	0.81455
ENSMUST00000143880_Klf8	5	-0.15905	-2.7974	0.0043534	0.07234	0.0051511	0.059162
ENSMUST00000060714_Ubqln2	6	0.082609	1.365	0.039437	0.21477	0.17226	0.40853
ENSMUST00000112573_Cypt3	6	0.044329	0.96917	0.19129	0.43743	0.33246	0.55939
ENSMUST00000069041_Ap1s2	6	0.1116	1.8065	0.0097311	0.12881	0.070839	0.27406
ENSMUST00000149514_2210013O21Rik	6	-0.054798	-1.1999	0.24277	0.49661	0.23017	0.47058
ENSMUST00000155090_Cacna1f	6	0.11968	2.079	0.006402	0.1	0.037614	0.19327
ENSMUST00000148708_Spin2c	6	-0.065432	-2.429	0.16517	0.40757	0.01514	0.10948
ENSMUST00000121852_Gm15157	6	0.020813	0.48908	0.47862	0.69852	0.62478	0.78576
ENSMUST00000123462_A230072C01Rik	6	-0.044972	-1.1942	0.33265	0.57605	0.23242	0.47115
ENSMUST00000151166_2810403D21Rik	6	0.097655	1.5087	0.019718	0.16559	0.13139	0.36259
ENSMUST00000033715_Nsdhl	6	-0.085246	-2.3803	0.074776	0.28911	0.0173	0.11953
ENSMUST00000033749_Pir	6	0.075859	1.7302	0.051216	0.24242	0.08359	0.29145
ENSMUST00000114546_Zfp185	6	0.05718	1.3345	0.11216	0.349	0.18203	0.42186
ENSMUST00000120648_5730416F02Rik	4	-0.025896	-0.47337	0.66069	0.7963	0.63595	0.79212
ENSMUST00000026324_Acot9	6	-0.055526	-1.62	0.23585	0.4928	0.10524	0.32231
ENSMUST00000155849_Piga	6	0.077522	1.5607	0.047887	0.23086	0.11859	0.33736
ENSMUST00000208582_Gm6858	6	0.0051948	0.13013	0.76876	0.8763	0.89646	0.93978
ENSMUST00000060418_Pnma3	6	-0.045473	-1.3956	0.32625	0.56748	0.16283	0.4037
ENSMUST00000033755_Asb11	6	-0.048602	-1.3701	0.29706	0.5446	0.17066	0.40635
ENSMUST00000133614_Sh3bgrl	6	0.085356	2.2412	0.034315	0.20451	0.025013	0.148
ENSMUST00000150558_Foxo4	6	0.0178	0.62658	0.52599	0.72451	0.53094	0.72768
ENSMUST00000078229_Pou3f4	6	-0.0036335	-0.10445	0.95442	0.97438	0.91681	0.9509
ENSMUST00000067529_Sytl5	6	0.012874	0.29388	0.62023	0.78068	0.76885	0.86642
ENSMUST00000057150_Fancb	6	-0.006092	-0.10549	0.9959	0.99718	0.91599	0.9509
ENSMUST00000142237_Xlr4b	6	0.010209	0.24668	0.66889	0.80184	0.80515	0.88442
ENSMUST00000137641_Xlr3b	6	0.012223	0.25224	0.6315	0.78567	0.80085	0.88442
ENSMUST00000105111_F8a	6	-0.044671	-1.4221	0.33649	0.57807	0.155	0.38799
ENSMUST00000118081_Gm6335	6	0.020343	0.40258	0.48476	0.69852	0.68726	0.82623
ENSMUST00000130247_Tex16	6	-0.01729	-0.5734	0.77439	0.8763	0.56638	0.75485
ENSMUST00000207962_Gm45194	6	0.09451	1.6431	0.024584	0.18462	0.10035	0.31503
ENSMUST00000118111_Nlgn3	6	0.051272	0.89045	0.14161	0.39021	0.37322	0.60304
ENSMUST00000156131_Med12	6	0.050246	1.7633	0.14571	0.39044	0.077843	0.28444
ENSMUST00000154378_Apool	6	0.091575	1.5829	0.027657	0.2	0.11344	0.33308
ENSMUST00000151972_Zfp711	6	0.039872	0.90743	0.23431	0.4928	0.36418	0.59503
ENSMUST00000120711_Gm1848	6	0.0049366	0.13618	0.77362	0.8763	0.89168	0.93889
ENSMUST00000127554_Gm5124	6	-0.067481	-1.7893	0.15339	0.39868	0.073573	0.27911
ENSMUST00000052130_Gjb1	6	0.018094	0.30121	0.52113	0.72163	0.76325	0.86474
ENSMUST00000114499_Zfp275	6	0.026488	0.53763	0.39052	0.6224	0.59084	0.76398
ENSMUST00000033740_Zfp92	6	0.062333	2.0489	0.092446	0.33119	0.04047	0.19879
ENSMUST00000150572_Syp	6	-0.033187	-0.96798	0.48425	0.69852	0.33305	0.55939
ENSMUST00000152248_Gemin8	6	-0.011253	-0.35467	0.8927	0.94432	0.72284	0.84385
ENSMUST00000129731_Gpm6b	6	-0.097039	-2.4552	0.045583	0.22675	0.01408	0.10669
ENSMUST00000116495_Trappc2	6	0.070001	1.3864	0.066837	0.27282	0.16564	0.40408
ENSMUST00000155231_Bgn	6	-0.010777	-0.35057	0.90448	0.94819	0.72591	0.84617
ENSMUST00000033673_Nono	6	-0.019744	-0.43254	0.72369000000000006	0.84484	0.66535	0.81455
ENSMUST00000135086_Gm1720	6	0.038293	1.1585	0.24789	0.49769	0.24666	0.48118
ENSMUST00000033674_Itgb1bp2	6	0.0069245	0.21993	0.73521	0.85319	0.82593	0.89715
ENSMUST00000119596_Gm14843	6	-0.060003	-1.3134	0.2023	0.45387	0.18906	0.42776
ENSMUST00000149274_Taf1	6	0.10816	2.6551	0.010755	0.13438	0.0079275	0.074564
ENSMUST00000143048_Arhgap6	6	0.032829	1.1394	0.3096	0.55423	0.25454	0.49004
ENSMUST00000119299_Ogt	6	0.12149	2.5215	0.006146	0.097959	0.011687	0.09037
ENSMUST00000156210_Gm15246	6	-0.032241	-1.1102	0.49449	0.70344	0.26689	0.49867
ENSMUST00000036753_Mid1	6	-0.05615	-1.5836	0.23047	0.49046	0.1133	0.33308
ENSMUST00000179760_Gm21887	6	-0.051195	-1.6352	0.27298	0.52772	0.10201	0.31868
ENSMUST00000157653_Gm23121	6	-0.02773	-0.69425	0.57465	0.75556	0.48753	0.69355
ENSMUST00000172155_Gm44	6	0.078088	1.9138	0.047119	0.23086	0.055644	0.2401
ENSMUST00000101968_n-R5s2	6	0.01094	0.27181	0.6548	0.79319	0.78577	0.87544
ENSMUST00000158389_Gm25520	6	-0.015922	-0.36787	0.80154	0.88656	0.71297	0.84088
ENSMUST00000104274_Gm26417	6	-0.0037816	-0.098333	0.95826	0.97529	0.92167	0.95264
ENSMUST00000158732_Mir2137	6	-0.027138	-0.82762	0.58694	0.76528	0.40788	0.63584
ENSMUST00000104354_Gm22023	6	0.027661	0.66229	0.3749	0.61201	0.50779	0.71113
ENSMUST00000122667_Gm25047	6	0.026697	0.78552	0.38643	0.61844	0.43215	0.64781
ENSMUST00000083602_Mir98	6	-0.0062632	-0.11246	0.99078	0.99332	0.91046	0.94809
ENSMUST00000083668_Mirlet7f-2	6	-0.017019	-0.3945	0.78079	0.87719	0.69321	0.83036
ENSMUST00000033450_Gpc4	6	-0.015528	-0.35634	0.80896	0.89237	0.72158	0.84385
ENSMUST00000033486_Plp2	6	-0.087871	-2.4349	0.067862	0.27282	0.014896	0.10873
ENSMUST00000152221_Gk	6	-0.087357	-2.3277	0.069142	0.27411	0.019925	0.13022
ENSMUST00000069360_Gpc3	6	-0.0081797	-0.23512	0.9516	0.97382	0.81412	0.88803
ENSMUST00000130287_Magix	6	0.013372	0.33829	0.61127	0.77374	0.73515	0.85059
ENSMUST00000154488_Kis2	6	-0.081424	-2.1583	0.086556	0.3219	0.030904	0.17617
ENSMUST00000119571_Gm14586	6	0.025911	0.8036	0.39974	0.62817	0.42163	0.64064
ENSMUST00000118102_Gm8692	6	0.040512	0.98262	0.22766	0.48712	0.3258	0.55556
ENSMUST00000152793_Gm14707	6	0.058547	1.3058	0.10627	0.34228	0.19162	0.42776
ENSMUST00000115313_Klhl13	6	-0.10182	-2.8821	0.037644	0.21143	0.0039502	0.04976
ENSMUST00000117260_Gm14523	6	-0.11805	-3.1602	0.019462	0.16522	0.0015764	0.026764
ENSMUST00000120747_Gm14915	6	0.034287	0.94914	0.28886	0.53919	0.34255	0.57049
ENSMUST00000113969_Mageb4	6	0.0084936	0.19817	0.70269	0.83308	0.84291	0.90537
ENSMUST00000116183_Gm41	6	0.019546	0.50781	0.49731	0.70344	0.61158	0.77666
ENSMUST00000118274_Mageb7-ps	6	-0.011545	-0.16992	0.88886	0.94432	0.86507	0.92132
ENSMUST00000191072_Gm28730	6	-0.043986	-1.2961	0.34213	0.58468	0.19492	0.43126
ENSMUST00000077569_Smarca1	6	0.10762	1.7585	0.011012	0.13438	0.078668	0.28444
ENSMUST00000122244_Gm5648	6	-0.030516	-0.65245	0.52292	0.72261	0.51411	0.71572
ENSMUST00000079490_Nap1l3	6	-0.067409	-1.5985	0.15391	0.39868	0.10994	0.32771
ENSMUST00000120768_Gm8876	6	0.028932	0.58237	0.35595	0.6026	0.56032	0.74886
ENSMUST00000182943_Gm27000	6	-0.012237	-0.24626	0.87503	0.94047	0.80548	0.88442
ENSMUST00000155622_C430049B03Rik	6	-0.070125	-1.922	0.13854	0.38921	0.0546	0.23704
ENSMUST00000036333_Prkx	6	-0.087599	-1.8788	0.068118	0.27282	0.060274	0.25173
ENSMUST00000113960_Pet2	6	-0.045108	-0.78761	0.33009	0.57289	0.43093	0.64722
ENSMUST00000176986_Arhgef6	6	-0.1135	-2.8885	0.022279	0.17228	0.0038704	0.049554
ENSMUST00000114843_Plac1	6	0.075232	1.537	0.052753	0.24524	0.12429	0.34918
ENSMUST00000188967_Nanog-ps1	6	-0.18733	-3.1701	0.0010243	0.023529	0.0015239	0.026764
ENSMUST00000114838_Fam122b	6	-0.061947	-1.1249	0.18822	0.4362	0.26061	0.49283
ENSMUST00000118503_Gm14753	6	-0.026209	-0.37318	0.59949	0.76737	0.70901	0.83787
ENSMUST00000145872_Bcor	6	0.17804	4.0116	0.0010243	0.023529	6.0312e-5	0.002048
ENSMUST00000149154_Pcdh19	6	-0.023235	-0.87144	0.65608	0.79319	0.38352	0.60879
ENSMUST00000152743_Mospd1	6	-0.04586	-1.2382	0.32343	0.56473	0.21565	0.45276
ENSMUST00000176718_Tspan6	6	-0.017103	-0.40797	0.77951	0.87719	0.6833	0.82609
ENSMUST00000126209_Prrg1	6	-0.003352	-0.074414	0.95032	0.97382	0.94068	0.96565
ENSMUST00000113297_Sytl4	6	-0.020398	-0.53495	0.71114	0.83519	0.59269	0.76422
ENSMUST00000006856_Pola1	6	-0.088102	-2.4472	0.067606	0.27282	0.014398	0.10669
ENSMUST00000098470_Rbmx	6	0.0039963	0.084894	0.79283	0.88519	0.93235	0.95937
ENSMUST00000179788_Gm7173	6	0.058106	1.5451	0.10704	0.34228	0.12233	0.34615
ENSMUST00000052283_Mageb16	6	-0.054466	-1.3821	0.24609	0.49664	0.16696	0.40408
ENSMUST00000121831_Gm14760	6	0.0052722	0.13033	0.76671	0.8763	0.8963	0.93978
ENSMUST00000039026_Apln	6	-0.015142	-0.27543	0.81921	0.9024	0.78299	0.87359
ENSMUST00000088779_Cxx1a	6	-0.0087775	-0.12283	0.94264	0.96741	0.90224	0.9433
ENSMUST00000159231_Nox1	6	-0.07607	-2.0729	0.10781	0.34228	0.038186	0.19487
ENSMUST00000088778_Cxx1b	6	0.071472	1.1271	0.06146	0.26816	0.25968	0.49226
ENSMUST00000148722_Xkrx	6	0.050076	1.2329	0.14648	0.39044	0.2176	0.45562
ENSMUST00000192662_AW822252	6	0.061048	1.3087	0.096287	0.33447	0.19062	0.42776
ENSMUST00000045748_Pdk3	6	-0.026938	-0.6027	0.59001	0.76667	0.54671	0.74128
ENSMUST00000067940_1700013H16Rik	6	-0.038853	-1.0853	0.40384	0.63206	0.27781	0.5083
ENSMUST00000117999_Supt20-ps	6	-0.012137	-0.25738	0.87657	0.94047	0.79688	0.88442
ENSMUST00000071711_Zfp36l3	6	0.026096	0.69683	0.39667	0.62817	0.48591	0.69349
ENSMUST00000088102_Zfx	6	-0.06804	-1.5599	0.15058	0.39797	0.11879	0.33736
ENSMUST00000067782_Xlr	6	-0.054501	-1.4405	0.24609	0.49664	0.14973	0.38717
ENSMUST00000128115_Trmt2b	6	-0.059241	-1.6497	0.20589	0.45682	0.099003	0.31431
ENSMUST00000127963_Eif2s3x	5	-0.11301	-2.6512	0.035595	0.20746	0.0080197	0.074564
ENSMUST00000057645_Gpr101	6	0.058673	1.8129	0.10551	0.34191	0.069853	0.27278
ENSMUST00000132652_Zdhhc9	6	-0.058443	-1.5868	0.21383	0.47042	0.11255	0.33308
ENSMUST00000113902_Fam90a1b	6	-0.26236	-4.7255	2.5608e-4	0.0083333	2.2956e-6	1.2806e-4
ENSMUST00000033497_Pqbp1	6	0.02731	0.77306	0.37849	0.61201	0.43949	0.65037
ENSMUST00000060108_1810030O07Rik	6	0.0071461	0.15961	0.72932	0.84762	0.87319	0.92532
ENSMUST00000145767_Fgf13	6	0.084547	1.7222	0.036364	0.2087	0.08504	0.29518
ENSMUST00000113223_Taf7l	6	-0.050326	-1.3056	0.28297	0.53511	0.1917	0.42776
ENSMUST00000054213_Timm8a1	6	0.02647	0.92539	0.39104	0.6224	0.35476	0.58453
ENSMUST00000101561_Gm773	6	-0.069583	-1.6885	0.14213	0.39021	0.091315	0.30873
ENSMUST00000153386_Maged1	6	-0.10456	-2.6823	0.034315	0.20451	0.0073123	0.070505
ENSMUST00000128333_Btk	6	-0.041762	-1.3034	0.36978	0.60926	0.19244	0.42818
ENSMUST00000033500_Eras	6	0.14879	3.3609	0.0015365	0.030769	7.7677e-4	0.016852
ENSMUST00000113097_Morf4l2	6	-0.12961	-2.637	0.013316	0.15294	0.0083649	0.07641
ENSMUST00000063507_Mcf2	6	0.17081	2.837	0.0010243	0.023529	0.0045537	0.054714
ENSMUST00000142240_Gm371	6	0.021756	0.42729	0.46428	0.68864	0.66916	0.81762
ENSMUST00000096367_Spin4	6	-0.031408	-1.0406	0.50627	0.71115	0.29804	0.52648
ENSMUST00000115481_Med14	6	-0.26644	-4.9832	2.5608e-4	0.0083333	6.2532e-7	4.4096e-5
ENSMUST00000114958_Elf4	6	-0.12031	-2.7006	0.017926	0.16522	0.0069221	0.068659
ENSMUST00000121152_Gm14633	6	-0.0045983	-0.13715	0.97337	0.98217	0.89091	0.93889
ENSMUST00000033621_Gla	6	-0.023617	-0.77587	0.64789	0.79319	0.43783	0.65037
ENSMUST00000033480_Atp11c	6	0.025938	0.53311	0.39949	0.62817	0.59396	0.76422
ENSMUST00000143466_Aifm1	6	0.0056382	0.16613	0.75954	0.87107	0.86806	0.92238
ENSMUST00000052431_Armcx6	6	-0.026817	-0.79064	0.59181	0.76667	0.42915	0.64716
ENSMUST00000113193_Armcx2	6	0.057333	1.6617	0.11088	0.3464	0.096563	0.31423
ENSMUST00000081133_Gm648	6	-0.023384	-0.5691	0.65327	0.79319	0.56929	0.75503
ENSMUST00000058814_Rab9b	6	-0.018469	-0.4739	0.75211	0.86637	0.63557	0.79212
ENSMUST00000180194_Tmsb15b2	6	-0.011002	-0.30168	0.89962	0.94435	0.7629	0.86474
ENSMUST00000127404_Tmsb15l	6	-0.011002	-0.30168	0.89962	0.94435	0.7629	0.86474
ENSMUST00000113071_Tmsb15b1	6	-0.0027907	-0.088177	0.93803	0.96395	0.92974	0.95795
ENSMUST00000143059_Nxf2	6	8.4718e-4	0.027111	0.8612	0.9337	0.97837	0.99235
ENSMUST00000123516_Slc25a53	6	0.019801	0.55225	0.49219	0.70344	0.58078	0.75503
ENSMUST00000059899_Mmgt1	6	0.020861	0.58147	0.47708	0.69852	0.56093	0.74886
ENSMUST00000137499_Hdac6	6	-0.070614	-1.2127	0.13624	0.38551	0.22525	0.46417
ENSMUST00000113185_Zmat1	6	-0.052727	-1.7847	0.26018	0.51574	0.07431	0.27911
ENSMUST00000113066_Esx1	6	0.3815	4.3025	0	0	1.689e-5	7.3284e-4
ENSMUST00000142907_3632454L22Rik	6	-0.079823	-1.8603	0.091933	0.33088	0.062849	0.25834
ENSMUST00000033783_Tceal6	6	1.7378e-4	0.0049392	0.87503	0.94047	0.99606	0.99862
ENSMUST00000169499_Gm14569	6	-0.032106	-1.1835	0.49731	0.70344	0.23663	0.47115
ENSMUST00000135107_Sox3	6	-0.023627	-0.52682	0.64789	0.79319	0.59832	0.7673
ENSMUST00000033626_Serpina7	6	-0.09326	-2.2721	0.052497	0.24524	0.023083	0.14308
ENSMUST00000128289_Ccdc120	6	0.029648	1.1139	0.34853	0.59432	0.26533	0.49693
ENSMUST00000076635_Zfp280c	6	-0.036331	-1.1328	0.44225	0.66809	0.25731	0.49103
ENSMUST00000051906_Akap17b	6	-0.028279	-0.72604	0.56825	0.75169	0.46781	0.67535
ENSMUST00000136817_Lamp2	6	-0.12025	-2.2475	0.017926	0.16522	0.02461	0.14785
ENSMUST00000122000_Llph-ps2	6	0.091421	2.0264	0.027913	0.2	0.042722	0.20534
ENSMUST00000186931_2010308F09Rik	6	-0.077228	-1.4362	0.10166	0.33586	0.15095	0.38717
ENSMUST00000113163_Nxf7	6	0.056767	1.6452	0.1137	0.35038	0.099928	0.31503
ENSMUST00000197364_Arhgef9	6	0.10111	2.5976	0.017157	0.16522	0.009387	0.077171
ENSMUST00000118975_Gm9434	6	-0.05434	-1.6233	0.24738	0.49769	0.10452	0.32152
ENSMUST00000118985_Gm14541	6	0.048113	1.0411	0.16184	0.40757	0.29781	0.52648
ENSMUST00000127966_C330007P06Rik	6	-0.057975	-0.94975	0.21767	0.47354	0.34224	0.57049
ENSMUST00000126339_Platr21	6	0.052501	1.2608	0.13393	0.38036	0.20739	0.44408
ENSMUST00000078605_Tcp11x2	6	-0.033182	-0.93523	0.48425	0.69852	0.34967	0.57858
ENSMUST00000113154_Tmsb15a	6	0.03479	0.73288	0.28297	0.53511	0.46363	0.67304
ENSMUST00000183537_Gm15013	6	0.019675	0.36662	0.49552	0.70344	0.7139	0.84088
ENSMUST00000101217_Ripply1	6	0.3024	4.4819	0	0	7.3987e-6	3.6115e-4
ENSMUST00000129479_Tslrn1	6	0.34452	4.2488	0	0	2.1497e-5	8.8362e-4
ENSMUST00000147129_Cul4b	6	-0.069236	-1.0403	0.14366	0.39044	0.29821	0.52648
ENSMUST00000172366_Morc4	6	0.14215	2.4242	0.0017926	0.034146	0.015343	0.10993
ENSMUST00000114379_Renbp	6	-0.042369	-1.2173	0.36338	0.60641	0.22349	0.46376
ENSMUST00000069926_Slitrk4	6	0.021033	0.501	0.47401	0.69849000000000006	0.61637	0.77895
ENSMUST00000033502_Gata1	6	0.65674	4.0248	0	0	5.7034e-5	0.0020247
ENSMUST00000049130_Bex2	6	-0.027251	-0.72887	0.58489	0.76516	0.46608	0.67534
ENSMUST00000080929_Nxf3	6	0.014156	0.28814	0.5936	0.76667	0.77324	0.86642
ENSMUST00000113011_Rbm41	6	0.054337	1.1077	0.12548	0.36296	0.26797	0.49949
ENSMUST00000033503_Glod5	6	0.063231	2.0178	0.089373	0.3277	0.043617	0.20771
ENSMUST00000118047_Gm14681	6	0.013385	0.35803	0.61127	0.77374	0.72032	0.84385
ENSMUST00000060101_Tceal8	5	0.043987	1.4309	0.23431	0.4928	0.15247	0.38717
ENSMUST00000066819_Tceal5	6	-0.064784	-1.1358	0.16876	0.40805	0.25605	0.49103
ENSMUST00000133780_Nup62cl	6	0.35639	5.0118	0	0	5.3912e-7	4.2105e-5
ENSMUST00000058125_Bex1	6	0.056574	1.0304	0.11447	0.35038	0.3028	0.53024
ENSMUST00000026325_4933436I01Rik	6	-0.042576	-1.2051	0.36082	0.60472	0.22815	0.46769
ENSMUST00000057093_Nkrf	6	0.084896	2.1025	0.034827	0.20451	0.03551	0.19259
ENSMUST00000128766_Sept6	6	-0.065392	-1.7311	0.16543	0.40757	0.083439	0.29145
ENSMUST00000115636_Suv39h1	6	0.035487	0.98323	0.27785	0.53056	0.32549	0.55556
ENSMUST00000133023_Tsc22d3	6	-0.04878	-1.3445	0.29654	0.5446	0.17878	0.41804
ENSMUST00000115435_Cask	6	0.028574	0.78806	0.36056	0.60472	0.43066	0.64722
ENSMUST00000114928_Gm595	6	0.0067195	0.20454	0.74059	0.85799	0.83793	0.90266
ENSMUST00000114372_Hcfc1	6	0.14213	2.7621000000000002	0.0017926	0.034146	0.0057439	0.062396
ENSMUST00000058265_C1galt1c1	6	-0.011349	-0.24288	0.89091	0.94432	0.8081	0.88517
ENSMUST00000118460_Gm14542	6	0.032972	0.66188	0.30755	0.55346	0.50805	0.71113
ENSMUST00000044179_Tex13b	6	0.048724	1.4108	0.15826	0.40658	0.1583	0.395
ENSMUST00000138799_Rpl39	6	0.12186	2.2666	0.0058899	0.095833	0.023416	0.144
ENSMUST00000033505_Was	6	-0.051541	-1.2569	0.27119	0.52687	0.2088	0.44433
ENSMUST00000033805_Psmd10	6	-0.023396	-0.56113	0.65275	0.79319	0.57471	0.75503
ENSMUST00000101205_Col4a6	6	-0.084066	-2.743	0.078361	0.29709	0.0060879	0.063396
ENSMUST00000076265_Upf3b	6	-0.031655	-0.87571	0.50269	0.70739	0.38119	0.60684
ENSMUST00000114914_Enox2	6	-0.058261	-1.8158	0.21562	0.47303	0.069403	0.27238
ENSMUST00000114153_Lage3	6	-0.07914	-2.095	0.095006	0.33447	0.036174	0.19327
ENSMUST00000046557_Akap14	6	-0.03807	-1.0642	0.41408	0.63913	0.28723	0.51697
ENSMUST00000155676_Ubl4a	6	0.05309	1.7767	0.13111	0.37647	0.07561	0.28254
ENSMUST00000114146_Slc10a3	6	-0.028347	-0.76634	0.56722	0.75169	0.44348	0.6535
ENSMUST00000139664_Cnksr2	6	0.0831	1.889	0.038924	0.21477	0.058886	0.24778
ENSMUST00000016571_Ndufa1	6	-0.0093462	-0.27916	0.93086	0.9591	0.78012	0.87288
ENSMUST00000015427_Fam3a	6	0.061115	1.475	0.096031	0.33447	0.14021	0.37373
ENSMUST00000101636_Gm9	6	0.085061	2.7665	0.034827	0.20451	0.0056663	0.062396
ENSMUST00000115210_Rhox1	6	-0.012097	-0.2889	0.87759	0.94047	0.77266	0.86642
ENSMUST00000124580_Irak1	6	-0.12233	-3.1846	0.017157	0.16522	0.0014494	0.026326
ENSMUST00000067841_Irs4	6	0.089313	2.2571	0.03073	0.20339	0.024	0.14644
ENSMUST00000152921_Thoc2	6	-0.07437	-1.2735	0.11703	0.35038	0.20283	0.44125
ENSMUST00000004327_G6pdx	6	-0.017774	-0.68915	0.76466	0.87566	0.49073	0.6962
ENSMUST00000134825_Kcne1l	6	-0.099012	-2.5602	0.04251	0.21699	0.01046	0.081696
ENSMUST00000120855_Gm15190	6	0.047758	1.1033	0.16492	0.40757	0.26989	0.50121
ENSMUST00000114125_Gm6880	6	-0.042916	-0.88439	0.35621	0.6026	0.37649	0.60495
ENSMUST00000112904_Acsl4	6	0.0015486	0.028086	0.84379	0.92426	0.97759	0.99235
ENSMUST00000144187_Pnck	6	-0.034675	-1.1848	0.46274	0.68838	0.2361	0.47115
ENSMUST00000033442_Igsf1	6	-0.050993	-1.9782	0.27529	0.52956	0.047911	0.22011
ENSMUST00000133292_Wdr13	6	0.017433	0.68844	0.53342	0.72937	0.49117	0.6962
ENSMUST00000026014_Efhc2	6	-0.047074	-1.1026	0.31012	0.55423	0.27018	0.50121
ENSMUST00000033662_Pdha1	6	0.073131	1.7981	0.056594	0.25698	0.072157	0.27761
ENSMUST00000114766_Map7d3	6	0.020406	0.67021	0.48425	0.69852	0.50272	0.70999
ENSMUST00000041317_Ammecr1	6	0.011083	0.34112	0.65327	0.79319	0.73302	0.84939
ENSMUST00000176638_Fundc1	6	-0.064492	-2.4634	0.17004	0.40988	0.013764	0.10539
ENSMUST00000002091_Bcap31	6	0.046573	1.1662	0.1726	0.4135	0.24354	0.47879
ENSMUST00000143999_Firre	6	0.040836	1.3009	0.22458	0.48453	0.19329	0.42885
ENSMUST00000115162_Rhox2h	6	-0.073123	-1.6003	0.12318	0.3603	0.10953	0.32771
ENSMUST00000123362_Mecp2	6	0.08565	1.4719	0.034059	0.20451	0.14105	0.37469
ENSMUST00000114109_Gab3	6	0.069816	1.6665	0.067093	0.27282	0.095606	0.31373
ENSMUST00000197804_Rhox7-ps2	6	0.018672	0.56241	0.51037	0.71434	0.57383	0.75503
ENSMUST00000117421_Rhox2-ps	6	-0.02412	-0.5879	0.63534	0.78762	0.5566	0.74886
ENSMUST00000151154_Capn6	6	-0.067993	-1.5421	0.15083	0.39797	0.12304	0.34692
ENSMUST00000089062_Rhox9	6	0.054229	1.8433	0.12625	0.36384	0.06529	0.26296
ENSMUST00000164311_Frmd7	6	-0.1235	-3.2245	0.016389	0.16522	0.0012621	0.023469
ENSMUST00000114092_Mpp1	6	-0.13323	-3.4619	0.011524	0.13846	5.3645e-4	0.012323
ENSMUST00000033642_Dcx	5	-0.037732	-0.91053	0.45736	0.68528	0.36254	0.59437
ENSMUST00000182652_Gm5946	6	-0.03741	-1.286	0.42433	0.64717	0.19844	0.43569
ENSMUST00000132626_Gm15104	6	-0.018973	-0.62493	0.74264	0.85799	0.53202	0.72768
ENSMUST00000127532_Tmem29	6	0.02554	0.8162	0.40563	0.6336	0.41439	0.63834
